Author	n (strains)	publication title	journal	publication URL	strains
Xiaoyun Ren et al	92	unknown	unknown	unknown	NewZealand/21MV0066/2021,NewZealand/20VR3209/2020,NewZealand/20VR3755/2020,NewZealand/20VR3759/2020,NewZealand/20CV0639/2020,NewZealand/20CV0065/2020,NewZealand/20CV0063/2020,NewZealand/20VR3494/2020,NewZealand/20CV0594/2020,NewZealand/21CV0102/2021,NewZealand/20VR3112/2020,NewZealand/20VR3068/2020,NewZealand/20VR0997/2020,NewZealand/20VR2586/2020,NewZealand/20VR3128/2020,NewZealand/20VR3476/2020,NewZealand/20VR3172/2020,NewZealand/20CV0637/2020,NewZealand/20VR1835/2020,NewZealand/20CV0680/2020,NewZealand/20CV0695/2020,NewZealand/21CV0010/2021,NewZealand/21CV0005/2021,NewZealand/21CV0111/2021,NewZealand/20CV0692/2020,NewZealand/21CV0029/2020,NewZealand/21MV0002/2021,NewZealand/21MV0013/2021,NewZealand/21CV0150/2021,NewZealand/21CV0104/2021,NewZealand/21CV0007/2021,NewZealand/21CV0002/2020,NewZealand/21CV0068/2021,NewZealand/20CV0703/2020,NewZealand/21CV0032/2021,NewZealand/21MV0081/2021,NewZealand/21MV0063/2021,NewZealand/20CV0587/2020,NewZealand/20VR3154/2020,NewZealand/20CV0160/2020,NewZealand/20VR3919/2020,NewZealand/20CV0118/2020,NewZealand/20CV0119/2020,NewZealand/20CV0116/2020,NewZealand/20CV0125/2020,NewZealand/20CV0217/2020,NewZealand/20CV0220/2020,NewZealand/20CV0235/2020,NewZealand/20CV0230/2020,NewZealand/20CV0232/2020,NewZealand/20CV0233/2020,NewZealand/20CV0181/2020,NewZealand/20CV0246/2020,NewZealand/20CV0249/2020,NewZealand/20CV0229/2020,NewZealand/20CV0242/2020,NewZealand/20CV0250/2020,NewZealand/20VR3879/2020,NewZealand/20VR3802/2020,NewZealand/20VR3804/2020,NewZealand/20VR3828/2020,NewZealand/20CV0388/2020,NewZealand/20CV0481/2020,NewZealand/20CV0510/2020,NewZealand/20VR3066/2020,NewZealand/20CV0599/2020,NewZealand/20CV0600/2020,NewZealand/20VR1888/2020,NewZealand/20CV0066/2020,NewZealand/20CV0608/2020,NewZealand/20CV0614/2020,NewZealand/20CV0612/2020,NewZealand/21CV0047/2021,NewZealand/20VR3119/2020,NewZealand/20VR3203/2020,NewZealand/20VR1962/2020,NewZealand/20CV0631/2020,NewZealand/20CV0449/2020,NewZealand/21CV0045/2021,NewZealand/20CV0541/2020,NewZealand/20CV0595/2020,NewZealand/21CV0019/2020,NewZealand/20CV0500/2020,NewZealand/20CV0458/2020,NewZealand/20CV0474/2020,NewZealand/20CV0499/2020,NewZealand/20CV0504/2020,NewZealand/20CV0496/2020,NewZealand/20CV0503/2020,NewZealand/20VR3060/2020,NewZealand/20VR3909/2020,NewZealand/20VR2080/2020
Enatha Mukantwari et al	6	unknown	unknown	unknown	Rwanda/BH74409RD/2021,Rwanda/AX83834RD/2020,Rwanda/BH72124RD/2021,Rwanda/AT33505RD/2020,Rwanda/AF37991-RD/2020,Rwanda/AK36376RD/2020
ENatha Mukantwari et al	1	unknown	unknown	unknown	Rwanda/AX81260RD/2020
Kuo-Chien Tsao et al B	6	SARS-CoV-2 genomic surveillance in Taiwan revealed novel ORF8-deletion mutant and clade possibly associated with infections in Middle East	unknown	https://dx.doi.org/10.1080/22221751.2020.1782271	Taiwan/CGMH-CGU-02/2020,Taiwan/CGMH-CGU-01/2020,Taiwan/CGMH-CGU-04/2020,Taiwan/CGMH-CGU-05/2020,Taiwan/CGMH-CGU-03/2020,Taiwan/CGMH-CGU-09/2020
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Nepal/61/2020
Kate Reddington et al	9	unknown	unknown	unknown	Ireland/D-20G31531/2020,Ireland/D-20G31591/2020,Ireland/D-20G31679/2020,Ireland/G-20G31487/2020,Ireland/D-20G42566/2020,Ireland/KE-20G31505/2020,Ireland/D-20G41914/2020,Ireland/D-20G31068/2020,Ireland/D-20G32695/2020
Andrés E Castillo et al	8	unknown	unknown	unknown	Chile/LI-ISPCH-2/2020,Chile/RM-ISPCH-24/2020,Chile/LL-ISPCH-1/2020,Chile/RM-ISPCH-23/2020,Chile/RM-ISPCH-40/2020,Chile/RM-ISPCH-42/2020,Chile/RM-ISPCH-38/2020,Chile/RM-ISPCH-80/2020
Ji-Rong Yang et al B	1	Prolonged viral shedding and new mutations of COVID-19 could complicate the control of the pandemic	unknown	https://dx.doi.org/10.1099/acmi.0.000133	Taiwan/2/2020
Anna Uehara et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/CA2/2020
Octavia S et al	1	unknown	unknown	unknown	Singapore/7/2020
Bengner et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Sweden/01/2020
Oskar Karlsson Lindsjo et al	34	unknown	unknown	unknown	Sweden/20-02114/2020,Sweden/20-08840/2020,Sweden/20-04736/2020,Sweden/20-04851/2020,Sweden/20-04850/2020,Sweden/20-04852/2020,Sweden/20-08904/2020,Sweden/20-50120/2020,Sweden/20-50591/2020,Sweden/20-08311/2020,Sweden/20-08722/2020,Sweden/20-08842/2020,Sweden/20-08870/2020,Sweden/20-08865/2020,Sweden/20-51065/2020,Sweden/20-51061/2020,Sweden/20-53787/2020,Sweden/20-50362/2020,Sweden/20-51997/2020,Sweden/20-14318/2020,Sweden/20-51578/2020,Sweden/20-51351/2020,Sweden/20-14518/2020,Sweden/20-08909/2020,Sweden/20-51848/2020,Sweden/20-51847/2020,Sweden/20-51849/2020,Sweden/20-51948/2020,Sweden/20-14785/2020,Sweden/20-51277/2020,Sweden/20-14377/2020,Sweden/20-51988/2020,Sweden/20-14734/2020,Sweden/20-51844/2020
Caly et al A	1	Isolation and rapid sharing of the 2019 novel coronavirus (SARS-CoV-2) from the first patient diagnosed with COVID-19 in Australia	unknown	https://dx.doi.org/10.5694/mja2.50569	Australia/VIC01/2020
Caly et al B	1	unknown	unknown	unknown	Australia/VIC8344/2020
Seemann et al	10	unknown	unknown	unknown	Australia/VIC1820/2020,Australia/VIC10806/2020,Australia/VIC10833/2020,Australia/VIC10663/2020,Australia/VIC14011/2020,Australia/VIC13225/2020,Australia/VIC9697/2020,Australia/VIC9553/2020,Australia/VIC10223/2020,Australia/VIC10678/2020
Mélanie Albert et al A	6	Introductions and early spread of SARS-CoV-2 in France	unknown	https://dx.doi.org/10.1101/2020.04.24.059576	France/IDF-0373/2020,France/IDF-0372/2020,France/IDF-0515/2020,France/BRE-1623/2020,France/HDF-2496/2020,France/IDF-2792/2020
Mélanie Albert et al B	3	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	France/IDF-0372-isl/2020,France/IDF-0515-isl/2020,France/IDF-0626/2020
Max Muenchhoff et al	2	unknown	unknown	unknown	Germany/BY-MVP-0254/2020,Germany/BY-MVP-0015/2020
Olivier Terrier et al	3	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	France/IDF-0386-islP1/2020,France/IDF-0386-islP3/2020,France/IDF-0571/2020
Antoine Bridier-Nahmias et al	33	unknown	unknown	unknown	France/IDF_HB_112001089879/2020,France/IDF_HB_112001900001/2020,France/IDF_HB_112001012957/2020,France/IDF_HB_112001106076/2020,France/IDF_HB_112002007147/2020,France/IDF_HB_112006062745/2020,France/IDF_HB_112011004269/2020,France/IDF_HB_112011005341/2020,France/IDF_HB_112011019987/2020,France/IDF_HB_112011030541/2020,France/IDF_HB_112002105386/2020,France/IDF_HB_112007034159/2020,France/IDF_HB_112002105286/2020,France/IDF_HB_112002107124/2020,France/IDF_HB_112003064511/2020,France/IDF_HB_112010014751/2020,France/IDF_HB_112006040999/2020,France/IDF_HB_112010007243/2020,France/IDF_HB_112007073476/2020,France/IDF_HB_112011113937/2020,France/IDF_HB_112011005785/2020,France/IDF_HB_112002103234/2020,France/IDF_HB_112002096647/2020,France/IDF_HB_112010009148/2020,France/IDF_HB_112003000900/2020,France/IDF_HB_112006104461/2020,France/IDF_HB_112004085918/2020,France/IDF_HB_112011061252/2020,France/IDF_HB_112009075949/2020,France/IDF_HB_112010012139/2020,France/IDF_HB_112011030565/2020,France/IDF_HB_112007036779/2020,France/IDF_HB_112011020817/2020
Samira Al-Maruqi et al	10	unknown	unknown	unknown	Oman/RESP-20-2857/2020,Oman/RESP-20-4028/2020,Oman/RESP-20-6560/2020,Oman/RESP-20-3700/2020,Oman/RESP-20-837/2020,Oman/RESP-20-797/2020,Oman/RESP-20-6081/2020,Oman/RESP-20-4400/2020,Oman/810962/2020,Oman/RESP-20-3080/2020
Maria R. Capobianchi et al A	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Italy/LAZ-INMI1-isl/2020
Kenneth Siu-Sing LEUNG et al	6	A territory-wide study of early COVID-19 outbreak in Hong Kong community: A clinical, epidemiological and phylogenomic investigation	unknown	https://dx.doi.org/10.1101/2020.03.30.20045740	HongKong/HKPU17_2201/2020,HongKong/HKPU28_3001/2020,HongKong/HKPU60-0802/2020,HongKong/HKPU66-2501/2020,HongKong/HKPU57-0702/2020,HongKong/HKPU63-1402/2020
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	Wuhan/Hu-1/2019
Fan et al	3	unknown	unknown	unknown	Wuhan/IME-WH05/2019,Wuhan/IME-WH02/2019,Wuhan/IME-WH04/2019
Bin Fang et al	1	Genome-wide data inferring the evolution and population demography of the novel pneumonia coronavirus (SARS-CoV-2)	unknown	https://dx.doi.org/10.1101/2020.03.04.976662	Wuhan/HBCDC-HB-03/2019
Peng Zhou et al	2	unknown	unknown	unknown	Wuhan/WIV06/2019,Wuhan/WIV04/2019
Lili Ren et al	1	Genomic diversity of SARS-CoV-2 in Coronavirus Disease 2019 patients	unknown	https://dx.doi.org/10.1093/cid/ciaa203/5780800	Wuhan/IPBCAMS-WH-04/2019
Wenjie Tan et al A	1	A Novel Coronavirus from Patients with Pneumonia in China, 2019	unknown	https://dx.doi.org/10.1056/NEJMoa2001017	Wuhan/IVDC-HB-01/2019
Chen et al	1	SARS-CoV-2 exhibits intra-host genomic plasticity and low-frequency polymorphic quasispecies	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.03.27.009480	Wuhan/WHU02/2020
Pilailuk et al B	2	Early transmission patterns of coronavirus disease 2019 (COVID-19) in travellers from Wuhan to Thailand, January 2020	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097	Thailand/61/2020,Thailand/74/2020
Yang Wei et al	4	unknown	unknown	unknown	Lu-an/353/2020,Lu-an/339/2020,Lu-an/110/2020,Lu-an/445/2020
Rima R Prasetya et al	2	unknown	unknown	unknown	Indonesia/JI-ITD-3101NT/2020,Indonesia/JI-ITD-26463NTv/2020
Ji-Rong Yang et al C	3	unknown	unknown	unknown	Taiwan/5/2020,Taiwan/8/2020,Taiwan/812/2021
Jun Li et al	3	unknown	unknown	unknown	Hangzhou/HZCDC0090L/2020,Hangzhou/HZCDC0048/2020,Hangzhou/HZCDC0091L/2020
Helena Kovaříková et al	22	unknown	unknown	unknown	CzechRepublic/FNHK-017/2020,CzechRepublic/FNHK-187/2020,CzechRepublic/FNHK-703/2020,CzechRepublic/FNHK-19203/2020,CzechRepublic/FNHK-13601/2020,CzechRepublic/FNHK-20401/2020,CzechRepublic/FNHK-16902/2020,CzechRepublic/FNHK-21403/2020,CzechRepublic/FNHK-181/2020,CzechRepublic/FNHK-5302/2020,CzechRepublic/FNHK-22001/2020,CzechRepublic/FNHK-18503/2020,CzechRepublic/FNHK-128/2020,CzechRepublic/FNHK-11801/2020,CzechRepublic/FNHK-019/2020,CzechRepublic/FNHK-18501/2020,CzechRepublic/FNHK-15901/2020,CzechRepublic/FNHK-21301/2020,CzechRepublic/FNHK-21401/2020,CzechRepublic/FNHK-21801/2020,CzechRepublic/FNHK-21302/2020,CzechRepublic/FNHK-21802/2020
Ivars Silamiķelis et al	128	unknown	unknown	unknown	Latvia/040/2020,Latvia/02/2020,Latvia/044/2020,Latvia/03/2020,Latvia/045/2020,Latvia/032/2020,Latvia/079/2020,Latvia/063/2020,Latvia/087/2020,Latvia/091/2020,Latvia/056/2020,Latvia/066/2020,Latvia/116/2020,Latvia/109/2020,Latvia/113/2020,Latvia/111/2020,Latvia/114/2020,Latvia/100/2020,Latvia/102/2020,Latvia/110/2020,Latvia/108/2020,Latvia/105/2020,Latvia/104/2020,Latvia/106/2020,Latvia/210/2020,Latvia/052/2020,Latvia/140/2020,Latvia/161/2020,Latvia/192/2020,Latvia/184/2020,Latvia/187/2020,Latvia/194/2020,Latvia/188/2020,Latvia/189/2020,Latvia/010/2020,Latvia/09/2020,Latvia/070/2020,Latvia/152/2020,Latvia/211/2020,Latvia/225/2020,Latvia/209/2020,Latvia/023/2020,Latvia/019/2020,Latvia/027/2020,Latvia/08/2020,Latvia/115/2020,Latvia/177/2020,Latvia/069/2020,Latvia/075/2020,Latvia/031/2020,Latvia/024/2020,Latvia/018/2020,Latvia/033/2020,Latvia/029/2020,Latvia/081/2020,Latvia/061/2020,Latvia/220/2020,Latvia/193/2020,Latvia/015/2020,Latvia/025/2020,Latvia/022/2020,Latvia/036/2020,Latvia/026/2020,Latvia/021/2020,Latvia/020/2020,Latvia/038/2020,Latvia/037/2020,Latvia/030/2020,Latvia/054/2020,Latvia/092/2020,Latvia/043/2020,Latvia/088/2020,Latvia/160/2020,Latvia/017/2020,Latvia/141/2020,Latvia/223/2020,Latvia/050/2020,Latvia/07/2020,Latvia/049/2020,Latvia/06/2020,Latvia/034/2020,Latvia/196/2020,Latvia/163/2020,Latvia/179/2020,Latvia/226/2020,Latvia/205/2020,Latvia/207/2020,Latvia/012/2020,Latvia/013/2020,Latvia/053/2020,Latvia/051/2020,Latvia/190/2020,Latvia/086/2020,Latvia/060/2020,Latvia/089/2020,Latvia/076/2020,Latvia/172/2020,Latvia/195/2020,Latvia/224/2020,Latvia/174/2020,Latvia/175/2020,Latvia/197/2020,Latvia/228/2020,Latvia/199/2020,Latvia/149/2020,Latvia/204/2020,Latvia/198/2020,Latvia/216/2020,Latvia/147/2020,Latvia/171/2020,Latvia/191/2020,Latvia/185/2020,Latvia/028/2020,Latvia/084/2020,Latvia/071/2020,Latvia/083/2020,Latvia/085/2020,Latvia/035/2020,Latvia/090/2020,Latvia/058/2020,Latvia/067/2020,Latvia/059/2020,Latvia/068/2020,Latvia/065/2020,Latvia/112/2020,Latvia/132/2020,Latvia/042/2020,Latvia/011/2020
Alan K.L. Tsang et al	10	unknown	unknown	unknown	HongKong/VB20017970-2/2020,HongKong/VM20060398/2020,HongKong/VM20194408/2020,HongKong/CM20000424/2020,HongKong/VM21000371/2021,HongKong/CM20000461/2020,HongKong/VM20008964-2/2020,HongKong/VM20107468/2020,HongKong/VM20108307/2020,HongKong/VM20149166/2020
Nurdyana Abdul Rahman et al	11	unknown	unknown	unknown	Singapore/1nan/2020,Singapore/2nan/2020,Singapore/316/2020,Singapore/538/2020,Singapore/318/2020,Singapore/550/2020,Singapore/1060/2020,Singapore/747/2020,Singapore/1110nan/2020,Singapore/110/2021,Singapore/1083nan/2020
Danielle E Anderson et al	3	Discovery of a 382-nt deletion during the early evolution of SARS-CoV-2	unknown	https://dx.doi.org/doi/10.1101/2020.03.11.987222	Singapore/2/2020,Singapore/6/2020,Singapore/3/2020
Baowen Du et al	14	unknown	unknown	unknown	Wuhan/HB-WH2-167/2020,Sichuan/SC-WCH4-290/2020,Sichuan/SC-NJ-089/2020,Sichuan/SC-YB-085/2020,Sichuan/SC-NJ-095/2020,Wuhan/HB-WH5-239/2020,Wuhan/HB-WH1-122/2020,Wuhan/HB-WH4-205/2020,Wuhan/HB-WH4-204/2020,Wuhan/HB-WH4-214/2020,Wuhan/HB-WH1-142/2020,Wuhan/HB-WH3-179/2020,Wuhan/HB-WH4-206/2020,Wuhan/HB-WH4-207/2020
María Rodríguez et al	9	unknown	unknown	unknown	Spain/MD-HLP-113/2020,Spain/MD-HLP-95/2020,Spain/MD-HLP-77/2020,Spain/MD-HLP-89/2020,Spain/MD-HLP-97/2020,Spain/MD-HLP-92/2020,Spain/MD-HLP-106-1/2020,Spain/MD-HLP-R82/2020,Spain/MD-HLP-R86/2020
Markus Antwerpen et al	20	unknown	unknown	unknown	Germany/BY-IMB00331/2020,Germany/BY-IMB02204/2020,Germany/BY-IMB00234/2020,Afghanistan/IMB07968/2020,Afghanistan/IMB07960/2020,Afghanistan/IMB07970/2020,Afghanistan/IMB07962/2020,Afghanistan/IMB07958/2020,Afghanistan/IMB15490/2021,Afghanistan/IMB15491/2021,Afghanistan/IMB15485/2021,Afghanistan/IMB15484/2021,Afghanistan/IMB15483/2021,Afghanistan/IMB15488/2021,Afghanistan/IMB15487/2021,Afghanistan/IMB15486/2021,Afghanistan/IMB07956/2020,Afghanistan/IMB07964/2020,Afghanistan/IMB07966/2020,Germany/BY-IMB15276/2021
David Perera et al	17	unknown	unknown	unknown	Malaysia/UNIMAS-M3851/2020,Malaysia/UNIMAS-C122/2020,Malaysia/UNIMAS-C121/2020,Malaysia/UNIMAS-0930/2020,Malaysia/UNIMAS-14960/2020,Malaysia/UNIMAS-M1884/2020,Malaysia/UNIMAS-M4061/2020,Malaysia/UNIMAS-C012N/2020,Malaysia/UNIMAS-M3482/2020,Malaysia/UNIMAS-11942/2020,Malaysia/UNIMAS-0172/2020,Malaysia/UNIMAS-0803/2020,Malaysia/UNIMAS-0217/2020,Malaysia/UNIMAS-1020/2020,Malaysia/UNIMAS-1589/2020,Malaysia/UNIMAS-M0710/2020,Malaysia/UNIMAS-1197/2020
Ji-Rong Yang et al D	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Taiwan/4/2020
Shengyue Wang et al	2	unknown	unknown	unknown	Shanghai/SH0073/2020,Shanghai/SH0119/2020
Edison Johar et al	7	unknown	unknown	unknown	Indonesia/KI-EIJK-05/2020,Indonesia/JK-EIJK-07/2020,Indonesia/JK-EIJK-03/2020,Indonesia/JK-EIJK-02/2020,Indonesia/JB-EIJK65/2020,Indonesia/JB-EIJK59/2020,Indonesia/JB-EIJK64/2020
Xianding Deng et al A	3	Genomic surveillance reveals multiple introductions of SARS-CoV-2 into Northern California	unknown	https://dx.doi.org/10.1126/science.abb9263	USA/CA-CDPH-UC3/2020,USA/CA-CDPH-UC4/2020,USA/CA-SCCPHD-UC14/2020
Krista Queen et al B	7	unknown	unknown	unknown	USA/CA-CDC-9/2020,USA/IL_1293/2020,USA/CA-CDC-8/2020,Jamaica/JM-CDC-0078/2020,Jamaica/JM-CDC-6729/2020,USA/MN-CDC-2-3766716/2020,USA/DC-CDC-2-3774018/2020
CDPH IDLB COVIDNet et al	1	unknown	unknown	unknown	USA/CA-CDPH016/2020
Microbiology Laboratory et al	1	unknown	unknown	unknown	Lu-an/226/2020
Bal et al	1	Molecular characterization of SARS-CoV-2 in the first COVID-19 cluster in France reveals an amino acid deletion in nsp2 (Asp268del)	unknown	https://dx.doi.org/10.1016/j.cmi.2020.03.020	France/ARA-739/2020
Xianding Deng et al B	3	unknown	unknown	unknown	USA/CA-SCCPHD-UC106/2020,USA/CA-SCCPHD-UC101/2020,USA/CA-SCCPHD-UC103/2020
Timms V et al	1	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW219/2020
Frilasita A Yudhaputri et al	23	unknown	unknown	unknown	Indonesia/JK-EIJK33/2020,Indonesia/JK-EIJK-39/2020,Indonesia/JK-EIJK29/2020,Indonesia/JK-EIJK42/2020,Indonesia/JB-EIJK41/2020,Indonesia/JK-EIJK-40/2020,Indonesia/JK-EIJK46/2020,Indonesia/JK-EIJK37/2020,Indonesia/JK-EIJK47/2020,Indonesia/JK-EIJK35/2020,Indonesia/JK-EIJK22/2020,Indonesia/JK-EIJK25/2020,Indonesia/JK-EIJK24/2020,Indonesia/JK-EIJK34/2020,Indonesia/JK-EIJK-23/2020,Indonesia/JT-EIJK-10/2020,Indonesia/YO-EIJK08/2020,Indonesia/PP-EIJK-11/2020,Indonesia/BT-EIJK36/2020,Indonesia/JK-EIJK-43/2020,Indonesia/JB-EIJK83/2020,Indonesia/BT-EIJK73/2020,Indonesia/BT-EIJK78/2020
Yufei Zhang et al	2	unknown	unknown	unknown	Wuhan/WH-CD/2020,mouse/Wuhan/LG/2020
Mendieta-Condado Edgar et al	1	unknown	unknown	unknown	Mexico/JAL-InDRE-16/2020
Garces-Ayala Fabiola. Taboada Ramírez Blanca. Ramirez-Gonzalez Ernesto et al	1	unknown	unknown	unknown	Mexico/JAL-InDRE-11/2020
Siu et al	9	unknown	unknown	unknown	HongKong/HKPU-0297/2020,HongKong/HKPU-0613/2020,HongKong/HKPU-0157/2020,HongKong/HKPU-5119/2020,HongKong/HKPU-5068/2020,HongKong/HKPU-1326/2020,HongKong/HKPU-1166/2020,HongKong/HKPU-5067/2020,HongKong/HKPU-5116/2020
