Author	n (strains)	publication title	journal	publication URL	strains
Sokhoun Yann et al	30	unknown	unknown	unknown	Cambodia/126517/2020,Cambodia/126516/2020,Cambodia/126519/2020,Cambodia/126521/2020,Cambodia/126518/2020,Cambodia/137333/2020,Cambodia/137932/2020,Cambodia/139654/2020,Cambodia/137931/2020,Cambodia/139037/2020,Cambodia/137334/2020,Cambodia/250293/2021,Cambodia/250289/2021,Cambodia/250295/2021,Cambodia/VIR2118404/2021,Cambodia/VIR2123240/2021,Cambodia/VIR2115973/2021,Cambodia/VIR2115974/2021,Cambodia/VIR2107864/2021,Cambodia/VIR2107865/2021,Cambodia/VIR2122581/2021,Cambodia/VIR2122644/2021,Cambodia/112404/2020,Cambodia/112144/2020,Cambodia/111948/2020,Cambodia/110537/2020,Cambodia/180575/2020,Cambodia/180217/2020,Cambodia/180348/2020,Cambodia/180346/2020
Tapfumanei Mashe et al	51	unknown	unknown	unknown	Zimbabwe/ZW-41190/2020,Zimbabwe/ZW-41820/2020,Zimbabwe/ZW-41815/2020,Zimbabwe/ZW-41817/2020,Zimbabwe/ZW-36225/2020,Zimbabwe/ZW-25259/2020,Zimbabwe/ZW-28979/2020,Zimbabwe/ZW-29055/2020,Zimbabwe/ZW-45994/2021,Zimbabwe/ZW-41872/2020,Zimbabwe/ZW-25243/2020,Zimbabwe/ZW-25255/2020,Zimbabwe/ZW-15919/2020,Zimbabwe/ZW-16452/2020,Zimbabwe/ZW-15925/2020,Zimbabwe/ZW-15930/2020,Zimbabwe/ZW-15947/2020,Zimbabwe/ZW-16502/2020,Zimbabwe/ZW-34550/2020,Zimbabwe/ZW-25248/2020,Zimbabwe/ZW-28983/2020,Zimbabwe/ZW-42276/2020,Zimbabwe/ZW-41936/2020,Zimbabwe/ZW-40789/2020,Zimbabwe/ZW-42300/2020,Zimbabwe/ZW-16433/2020,Zimbabwe/ZW-25236/2020,Zimbabwe/ZW-33175/2020,Zimbabwe/ZW-32726/2020,Zimbabwe/ZW-16429/2020,Zimbabwe/ZW-34139/2020,Zimbabwe/ZW-16535/2020,Zimbabwe/ZW-16428/2020,Zimbabwe/ZW-33039/2020,Zimbabwe/ZW-34091/2020,Zimbabwe/ZW-25117/2020,Zimbabwe/ZW-25226/2020,Zimbabwe/ZW-25639/2020,Zimbabwe/ZW-25731/2020,Zimbabwe/ZW-29001/2020,Zimbabwe/ZW-46061/2021,Zimbabwe/ZW-36782/2020,Zimbabwe/ZW-45926/2021,Zimbabwe/ZW-41975/2020,Zimbabwe/ZW-45938/2021,Zimbabwe/ZW-46001/2021,Zimbabwe/ZW-50135/2021,Zimbabwe/ZW-51212/2021,Zimbabwe/ZW-46166/2021,Zimbabwe/ZW-46028/2021,Zimbabwe/ZW-50523/2021
ENatha Mukantwari et al	2	unknown	unknown	unknown	Rwanda/AX81260RD/2020,Rwanda/AY29099RD/2021
Giandhari J et al	81	unknown	unknown	unknown	SouthAfrica/KRISP-K008366/2021,SouthAfrica/KRISP-EC-K005244/2020,SouthAfrica/KRISP-K002647/2020,SouthAfrica/KRISP-K004641/2020,SouthAfrica/KRISP-K003546/2020,SouthAfrica/KRISP-0286/2020,SouthAfrica/KRISP-0385/2020,SouthAfrica/KRISP-0135/2020,SouthAfrica/KRISP-0124/2020,SouthAfrica/KRISP-0128/2020,SouthAfrica/KRISP-K004638/2020,SouthAfrica/KRISP-0149/2020,SouthAfrica/KRISP-K002853/2020,SouthAfrica/KRISP-0205/2020,SouthAfrica/KRISP-0202/2020,SouthAfrica/KRISP-EC-K005296/2020,SouthAfrica/KRISP-K003743/2020,SouthAfrica/KRISP-K003501/2020,SouthAfrica/KRISP-K002825/2020,SouthAfrica/KRISP-EC-K005291/2020,SouthAfrica/KRISP-EC-K005282/2020,SouthAfrica/KRISP-0144/2020,SouthAfrica/KRISP-0147/2020,SouthAfrica/KRISP-0055/2020,SouthAfrica/KRISP-0041/2020,SouthAfrica/KRISP-0019/2020,SouthAfrica/KRISP-0035/2020,SouthAfrica/KRISP-K004012/2020,SouthAfrica/KRISP-0040/2020,SouthAfrica/KRISP-0057/2020,SouthAfrica/KRISP-0119/2020,SouthAfrica/KRISP-0017/2020,SouthAfrica/KRISP-0067/2020,SouthAfrica/KRISP-0115/2020,SouthAfrica/KRISP-0159/2020,SouthAfrica/KRISP-0160/2020,SouthAfrica/KRISP-0446/2020,SouthAfrica/KRISP-K002614/2020,SouthAfrica/KRISP-K002188/2020,SouthAfrica/KRISP-K000591/2020,SouthAfrica/KRISP-K002222/2020,SouthAfrica/KRISP-K002322/2020,SouthAfrica/KRISP-K004646/2020,SouthAfrica/KRISP-K003095-CE1/2020,SouthAfrica/KRISP-K004320/2020,SouthAfrica/KRISP-0368/2020,SouthAfrica/KRISP-K003492/2020,SouthAfrica/KRISP-0165/2020,SouthAfrica/KRISP-K002802/2020,SouthAfrica/KRISP-0154/2020,SouthAfrica/KRISP-0366/2020,SouthAfrica/KRISP-K000622/2020,SouthAfrica/KRISP-0478/2020,SouthAfrica/KRISP-0564/2020,SouthAfrica/KRISP-K002241/2020,SouthAfrica/KRISP-K002667/2020,SouthAfrica/KRISP-K002726/2020,SouthAfrica/KRISP-K002393/2020,SouthAfrica/KRISP-K002846/2020,SouthAfrica/KRISP-K003458/2020,SouthAfrica/KRISP-K004311/2020,SouthAfrica/KRISP-K002755/2020,SouthAfrica/KRISP-K002765/2020,SouthAfrica/KRISP-K002757/2020,SouthAfrica/KRISP-K003483/2020,SouthAfrica/KRISP-K004631/2020,SouthAfrica/KRISP-K003525/2020,SouthAfrica/KRISP-K008350/2021,SouthAfrica/KRISP-K008606/2021,SouthAfrica/KRISP-K008610/2021,SouthAfrica/KRISP-K008593/2021,SouthAfrica/KRISP-K008592/2021,SouthAfrica/KRISP-K008608/2021,SouthAfrica/KRISP-K008607/2021,SouthAfrica/KRISP-K008574/2021,SouthAfrica/KRISP-K008594/2021,SouthAfrica/KRISP-K008614/2021,SouthAfrica/KRISP-K008372/2021,SouthAfrica/KRISP-K008580/2021,SouthAfrica/KRISP-K008336/2021,SouthAfrica/KRISP-K008595/2021
Xiaoyun Ren et al	93	unknown	unknown	unknown	NewZealand/21MV0066/2021,NewZealand/20CV0291/2020,NewZealand/20VR1979/2020,NewZealand/20VR3802/2020,NewZealand/20VR3804/2020,NewZealand/20VR3828/2020,NewZealand/21CV0049/2021,NewZealand/20VR3879/2020,NewZealand/21MV0065/2021,NewZealand/21CV0047/2021,NewZealand/21MV0002/2021,NewZealand/21MV0013/2021,NewZealand/21CV0007/2021,NewZealand/21CV0068/2021,NewZealand/21CV0032/2021,NewZealand/21CV0104/2021,NewZealand/21CV0010/2021,NewZealand/21CV0005/2021,NewZealand/21CV0111/2021,NewZealand/20CV0692/2020,NewZealand/21MV0045/2021,NewZealand/20VR3128/2020,NewZealand/20VR3476/2020,NewZealand/20VR3755/2020,NewZealand/20VR3759/2020,NewZealand/20VR3068/2020,NewZealand/20VR3172/2020,NewZealand/20VR1835/2020,NewZealand/20CV0066/2020,NewZealand/20VR3066/2020,NewZealand/20VR3119/2020,NewZealand/20VR3060/2020,NewZealand/20VR2579/2020,NewZealand/20VR1962/2020,NewZealand/20VR1888/2020,NewZealand/20CV0285/2020,NewZealand/20VR2080/2020,NewZealand/20VR1930/2020,NewZealand/20VR3203/2020,NewZealand/21CV0102/2021,NewZealand/20VR3112/2020,NewZealand/20CV0639/2020,NewZealand/20CV0704/2020,NewZealand/20CV0709/2020,NewZealand/20CV0203/2020,NewZealand/20CV0208/2020,NewZealand/20CV0542/2020,NewZealand/20CV0531/2020,NewZealand/20CV0506/2020,NewZealand/20CV0524/2020,NewZealand/20CV0527/2020,NewZealand/20CV0545/2020,NewZealand/20CV0563/2020,NewZealand/20CV0556/2020,NewZealand/20CV0536/2020,NewZealand/20CV0669/2020,NewZealand/20CV0670/2020,NewZealand/20CV0375/2020,NewZealand/20CV0202/2020,NewZealand/20CV0211/2020,NewZealand/20CV0238/2020,NewZealand/20CV0701/2020,NewZealand/20CV0697/2020,NewZealand/20CV0480/2020,NewZealand/20CV0495/2020,NewZealand/20CV0493/2020,NewZealand/20CV0427/2020,NewZealand/20CV0462/2020,NewZealand/20CV0463/2020,NewZealand/20CV0434/2020,NewZealand/20CV0065/2020,NewZealand/20CV0063/2020,NewZealand/20VR3494/2020,NewZealand/20CV0209/2020,NewZealand/21CV0059/2021,NewZealand/20CV0223/2020,NewZealand/20CV0380/2020,NewZealand/20CV0521/2020,NewZealand/20CV0532/2020,NewZealand/20CV0221/2020,NewZealand/20CV0224/2020,NewZealand/20CV0332/2020,NewZealand/20CV0365/2020,NewZealand/20CV0362/2020,NewZealand/20CV0364/2020,NewZealand/20CV0350/2020,NewZealand/20CV0357/2020,NewZealand/20CV0358/2020,NewZealand/20CV0489/2020,NewZealand/20CV0490/2020,NewZealand/20CV0205/2020,NewZealand/20CV0628/2020,NewZealand/20CV0629/2020
Rockett R et al	3	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW02/2020,Australia/NSW08/2020,Australia/NSW10/2020
Tsuyoshi Sekizuka et al C	3	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	Japan/PG-0016/2020,Japan/PG-0015/2020,Japan/PG-0122/2020
Yoong Min CHONG et al	9	unknown	unknown	unknown	Malaysia/6359/2020,Malaysia/9593/2020,Malaysia/9886/2020,Malaysia/8454/2020,Malaysia/0956/2020,Malaysia/0784/2020,Malaysia/7618/2020,Malaysia/3097/2020,Malaysia/0121/2020
Suppiah.J et al	6	unknown	unknown	unknown	Malaysia/IMR_WC1177/2020,Malaysia/IMR_WC085/2020,Malaysia/IMR_WC1098/2020,Malaysia/IMR_WC1097/2020,Malaysia/IMR_WC1170/2020,Malaysia/IMR_WC627/2020
Clinton R. Paden et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/MA1/2020
To et al	6	unknown	unknown	unknown	HongKong/HKU-915a/2020,HongKong/HKU-902b/2020,HongKong/HKU-902a/2020,HongKong/HKU-911a/2020,HongKong/HKU-908a/2020,HongKong/HKU-908b/2020
Shari Tyson et al	1	unknown	unknown	unknown	Canada/ON_VIDO-01/2020
Amrit S. Boese et al	1	unknown	unknown	unknown	Canada/ON_ON-VIDO-01-2/2020
Krista Queen et al A	2	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/CA-CDC-4/2020,USA/CA-CDC-3/2020
Bixing Huang et al	1	unknown	unknown	unknown	Australia/QLDID922/2020
Lukas Zemaitis et al	63	unknown	unknown	unknown	Lithuania/KU-LUHS-Eilnr10/2020,Lithuania/AL-LUHS-Eilnr2/2020,Lithuania/MR-LUHS-Eilnr33/2020,Lithuania/MR-LUHS-Eilnr32/2020,Lithuania/MR-LUHS-Eilnr45/2020,Lithuania/MR-LUHS-Eilnr46/2020,Lithuania/MR-LUHS-Eilnr50/2020,Lithuania/KU-LUHS-Eilnr61/2020,Lithuania/MR-LUHS-Eilnr12/2020,Lithuania/MR-LUHS-Eilnr40/2020,Lithuania/MR-LUHS-Eilnr43/2020,Lithuania/MR-LUHS-Eilnr19/2020,Lithuania/KU-LUHS-Eilnr24/2020,Lithuania/MR-LUHS-Eilnr31/2020,Lithuania/MR-LUHS-Eilnr65/2020,Lithuania/MR-LUHS-Eilnr73/2020,Lithuania/MR-LUHS-Eilnr86/2020,Lithuania/MR-LUHS-Eilnr91/2020,Lithuania/MR-LUHS-Eilnr92/2020,Lithuania/MR-LUHS-Eilnr103/2020,Lithuania/MR-LUHS-Eilnr426/2020,Lithuania/MR-LUHS-Eilnr461/2020,Lithuania/MR-LUHS-Eilnr422/2020,Lithuania/MR-LUHS-Eilnr427/2020,Lithuania/MR-LUHS-Eilnr431/2020,Lithuania/MR-LUHS-Eilnr248/2020,Lithuania/MR-LUHS-Eilnr262/2020,Lithuania/MR-LUHS-Eilnr222/2020,Lithuania/MR-LUHS-Eilnr269/2020,Lithuania/MR-LUHS-Eilnr455/2020,Lithuania/MR-LUHS-Eilnr285/2020,Lithuania/MR-LUHS-Eilnr319/2020,Lithuania/MR-LUHS-Eilnr381/2020,Lithuania/MR-LUHS-Eilnr339/2020,Lithuania/MR-LUHS-Eilnr407/2020,Lithuania/MR-LUHS-Eilnr442/2020,Lithuania/MR-LUHS-Eilnr401/2020,Lithuania/MR-LUHS-Eilnr403/2020,Lithuania/MR-LUHS-Eilnr405/2020,Lithuania/MR-LUHS-Eilnr201/2020,Lithuania/MR-LUHS-Eilnr203/2020,Lithuania/MR-LUHS-Eilnr216/2020,Lithuania/MR-LUHS-Eilnr230/2020,Lithuania/MR-LUHS-Eilnr236/2020,Lithuania/MR-LUHS-Eilnr227/2020,Lithuania/MR-LUHS-Eilnr228/2020,Lithuania/MR-LUHS-Eilnr249/2020,Lithuania/MR-LUHS-Eilnr247/2020,Lithuania/MR-LUHS-Eilnr258/2020,Lithuania/MR-LUHS-Eilnr414/2020,Lithuania/MR-LUHS-Eilnr192/2020,Lithuania/MR-LUHS-Eilnr172/2020,Lithuania/MR-LUHS-Eilnr173/2020,Lithuania/MR-LUHS-Eilnr189/2020,Lithuania/MR-LUHS-Eilnr459/2020,Lithuania/MR-LUHS-Eilnr474/2020,Lithuania/MR-LUHS-Eilnr449/2020,Lithuania/MR-LUHS-Eilnr452/2020,Lithuania/MR-LUHS-Eilnr456/2020,Lithuania/MR-LUHS-Eilnr462/2020,Lithuania/MR-LUHS-Eilnr469/2020,Lithuania/MR-LUHS-Eilnr476/2020,Lithuania/MR-LUHS-Eilnr174/2020
Kenneth Siu-Sing LEUNG et al	8	A territory-wide study of early COVID-19 outbreak in Hong Kong community: A clinical, epidemiological and phylogenomic investigation	unknown	https://dx.doi.org/10.1101/2020.03.30.20045740	HongKong/HKPU6_2101/2020,HongKong/HKPU52-3101/2020,HongKong/HKPU28_3001/2020,HongKong/HKPU17_2201/2020,HongKong/HKPU60-0802/2020,HongKong/HKPU66-2501/2020,HongKong/HKPU57-0702/2020,HongKong/HKPU63-1402/2020
Ranjit Sah et al	1	Insights into The Codon Usage Bias of 13 Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Isolates from Different Geo-locations	unknown	http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463	Nepal/61/2020
Kate Reddington et al	11	unknown	unknown	unknown	Ireland/D-20G31531/2020,Ireland/CO-20G33632/2020,Ireland/OY-20G32708/2020,Ireland/D-20G31591/2020,Ireland/CO-20G31755/2020,Ireland/D-20G31068/2020,Ireland/D-20G42566/2020,Ireland/D-20G41914/2020,Ireland/D-20G32695/2020,Ireland/CO-20G31784/2020,Ireland/KE-20G31505/2020
Octavia S et al	1	unknown	unknown	unknown	Singapore/7/2020
Caly et al A	1	Isolation and rapid sharing of the 2019 novel coronavirus (SARS-CoV-2) from the first patient diagnosed with COVID-19 in Australia	unknown	https://dx.doi.org/10.5694/mja2.50569	Australia/VIC01/2020
Ji-Rong Yang et al B	1	Prolonged viral shedding and new mutations of COVID-19 could complicate the control of the pandemic	unknown	https://dx.doi.org/10.1099/acmi.0.000133	Taiwan/2/2020
Anna Uehara et al	1	First 12 patients with coronavirus disease 2019 (COVID-19) in the United States	unknown	https://dx.doi.org/10.1101/2020.03.09.20032896	USA/CA2/2020
Bengner et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Sweden/01/2020
Oskar Karlsson Lindsjo et al	36	unknown	unknown	unknown	Sweden/20-02114/2020,Sweden/20-08840/2020,Sweden/20-04736/2020,Sweden/20-04851/2020,Sweden/20-04850/2020,Sweden/20-04852/2020,Sweden/20-51848/2020,Sweden/20-51847/2020,Sweden/20-51849/2020,Sweden/20-51988/2020,Sweden/20-51997/2020,Sweden/20-51350/2020,Sweden/20-51351/2020,Sweden/20-08842/2020,Sweden/20-51947/2020,Sweden/20-08870/2020,Sweden/20-08866/2020,Sweden/20-51061/2020,Sweden/20-51065/2020,Sweden/20-50185/2020,Sweden/20-51578/2020,Sweden/20-14318/2020,Sweden/20-14734/2020,Sweden/20-08211/2020,Sweden/20-50564/2020,Sweden/20-51733/2020,Sweden/20-51948/2020,Sweden/20-51618/2020,Sweden/20-51844/2020,Sweden/20-14785/2020,Sweden/20-51277/2020,Sweden/20-14377/2020,Sweden/20-14518/2020,Sweden/20-08909/2020,Sweden/21-51122/2021,Sweden/21-20617/2020
Mélanie Albert et al A	3	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	France/IDF-0372-isl/2020,France/IDF-0626/2020,France/IDF-0515-isl/2020
Mélanie Albert et al B	4	Introductions and early spread of SARS-CoV-2 in France	unknown	https://dx.doi.org/10.1101/2020.04.24.059576	France/IDF-0372/2020,France/IDF-0373/2020,France/IDF-0515/2020,France/BRE-1623/2020
Max Muenchhoff et al	7	unknown	unknown	unknown	Germany/BY-MVP-0254/2020,Germany/BY-MVP-0251/2020,Germany/BY-MVP-0268/2020,Germany/BY-MVP-0015/2020,Germany/BY-MVP-0098/2020,Germany/BY-MVP-0095/2020,Germany/BY-MVP-0249/2020
Olivier Terrier et al	3	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	France/IDF-0386-islP3/2020,France/IDF-0386-islP1/2020,France/IDF-0571/2020
Antoine Bridier-Nahmias et al	40	unknown	unknown	unknown	France/IDF_HB_112001089879/2020,France/IDF_HB_112001900001/2020,France/IDF_HB_112001012957/2020,France/IDF_HB_112002007147/2020,France/IDF_HB_112001106076/2020,France/IDF_HB_112002105386/2020,France/IDF_HB_112006062745/2020,France/IDF_HB_112002103234/2020,France/IDF_HB_112002096647/2020,France/IDF_HB_112005033995/2020,France/IDF_HB_112002107124/2020,France/IDF_HB_112002105286/2020,France/IDF_HB_112003000900/2020,France/IDF_HB_112006104461/2020,France/IDF_HB_112004004606/2020,France/IDF_HB_112004085918/2020,France/IDF_HB_112004025720/2020,France/IDF_HB_112007036779/2020,France/IDF_HB_112006040999/2020,France/IDF_HB_112004003571/2020,France/IDF_HB_112009025548/2020,France/IDF_HB_112009019065/2020,France/IDF_HB_112009013065/2020,France/IDF_HB_112010007839/2020,France/IDF_HB_112010016892/2020,France/IDF_HB_112011019945/2020,France/IDF_HB_112011021500/2020,France/IDF_HB_112011028423/2020,France/IDF_HB_112011088956/2020,France/IDF_HB_112010003678/2020,France/IDF_HB_112010015454/2020,France/IDF_HB_112009015196/2020,France/IDF_HB_112009041032/2020,France/IDF_HB_112009042536/2020,France/IDF_HB_112009019069/2020,France/IDF_HB_112008094074/2020,France/IDF_HB_112009003489/2020,France/IDF_HB_112009043616/2020,France/IDF_HB_112011031271/2020,France/IDF_HB_112007050997/2020
Maria R. Capobianchi et al A	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Italy/LAZ-INMI1-isl/2020
Samira Al-Maruqi et al	11	unknown	unknown	unknown	Oman/RESP-20-4028/2020,Oman/RESP-20-2857/2020,Oman/RESP-20-3700/2020,Oman/RESP-20-6560/2020,Oman/RESP-20-2181/2020,Oman/RESP-20-837/2020,Oman/RESP-20-797/2020,Oman/810962/2020,Oman/RESP-20-3343/2020,Oman/RESP-20-2523/2020,Oman/RESP-20-3080/2020
Sachin Chalapati et al	16	unknown	unknown	unknown	Ireland/LH-NVRL-20Z04047/2020,Ireland/OY-NVRL-20G31858/2020,Ireland/D-NVRL-20Z12367/2020,Ireland/TA-NVRL-20Z13164/2020,Ireland/D-NVRL-20Z12598/2020,Ireland/WW-NVRL-20G41355/2020,Ireland/MN-NVRL-20Z12319/2020,Ireland/D-NVRL-20Z14363/2020,Ireland/KE-NVRL-20Z14275/2020,Ireland/MN-NVRL-20Z16247/2020,Ireland/D-NVRL-20Z11876/2020,Ireland/D-NVRL-20Z13346/2020,Ireland/WH-NVRL-20Z18155/2020,Ireland/D-NVRL-20Z12953/2020,Ireland/MH-NVRL-20Z11666/2020,Ireland/D-NVRL-20Z11517/2020
Chandima Jeewandara et al A	4	Evolutionary and genomic analysis of four SARS-CoV-2 isolates circulating in March 2020 in Sri Lanka; Additional evidence on multiple introduction and further transmission	unknown	https://dx.doi.org/10.21203/rs.3.rs-44134/v1	SriLanka/COV486/2020,SriLanka/COV38/2020,SriLanka/COV91/2020,SriLanka/COV53/2020
Nurdyana Abdul Rahman et al	8	unknown	unknown	unknown	Singapore/1nan/2020,Singapore/2nan/2020,Singapore/316/2020,Singapore/538/2020,Singapore/318/2020,Singapore/1060/2020,Singapore/550/2020,Singapore/777/2020
Danielle E Anderson et al	3	Discovery of a 382-nt deletion during the early evolution of SARS-CoV-2	unknown	https://dx.doi.org/doi/10.1101/2020.03.11.987222	Singapore/6/2020,Singapore/2/2020,Singapore/3/2020
Rima R Prasetya et al	6	unknown	unknown	unknown	Indonesia/JI-ITD-3101NT/2020,Indonesia/JI-ITDua-2858NTv/2020,Indonesia/JI-ITDua-12418Nv/2020,Indonesia/JI-ITDua-5392NTv/2020,Indonesia/JI-ITDua-34192NT/2020,Indonesia/JI-ITDua-12663Nv/2020
Ji-Rong Yang et al C	3	unknown	unknown	unknown	Taiwan/5/2020,Taiwan/8/2020,Taiwan/812/2021
Alan K.L. Tsang et al	6	unknown	unknown	unknown	HongKong/VB20017970-2/2020,HongKong/VM20008964-2/2020,HongKong/VM21000371/2021,HongKong/VM20060398/2020,env/HongKong/VN20001008/2020,HongKong/VM20192019/2020
Shakeel et al	29	unknown	unknown	unknown	Pakistan/KHI1/2020,Pakistan/JRCGR-KHI20/2020,Pakistan/JRCGR-KHI46/2020,Pakistan/JRCGR-KHI18/2020,Pakistan/JRCGR-KHI43/2020,Pakistan/JRCGR-KHI06/2020,Pakistan/JRCGR-KHI22/2020,Pakistan/JRCGR-KHI02/2020,Pakistan/JRCGR-KHI27/2020,Pakistan/JRCGR-KHI17/2020,Pakistan/JRCGR-KHI29/2020,Pakistan/JRCGR-KHI26/2020,Pakistan/JRCGR-KHI28/2020,Pakistan/JRCGR-KHI11/2020,Pakistan/JRCGR-KHI42/2020,Pakistan/JRCGR-KHI07/2020,Pakistan/JRCGR-KHI15/2020,Pakistan/JRCGR-KHI45/2020,Pakistan/JRCGR-KHI16/2020,Pakistan/JRCGR-KHI40/2020,Pakistan/JRCGR-KHI41/2020,Pakistan/JRCGR-KHI48/2020,Pakistan/JRCGR-KHI13/2020,Pakistan/JRCGR-KHI03/2020,Pakistan/JRCGR-KHI05/2020,Pakistan/JRCGR-KHI36/2020,Pakistan/JRCGR-KHI35/2020,Pakistan/JRCGR-KHI37/2020,Pakistan/JRCGR-KHI47/2020
Helena Kovaříková et al	31	unknown	unknown	unknown	CzechRepublic/FNHK-017/2020,CzechRepublic/FNHK-009/2020,CzechRepublic/FNHK-00701/2020,CzechRepublic/FNHK-703/2020,CzechRepublic/FNHK-181/2020,CzechRepublic/FNHK-21301/2020,CzechRepublic/FNHK-21401/2020,CzechRepublic/FNHK-18501/2020,CzechRepublic/FNHK-21801/2020,CzechRepublic/FNHK-21802/2020,CzechRepublic/FNHK-21302/2020,CzechRepublic/FNHK-13601/2020,CzechRepublic/FNHK-19203/2020,CzechRepublic/FNHK-20401/2020,CzechRepublic/FNHK-16902/2020,CzechRepublic/FNHK-21403/2020,CzechRepublic/FNHK-5302/2020,CzechRepublic/FNHK-22001/2020,CzechRepublic/FNHK-019/2020,CzechRepublic/FNHK-11801/2020,CzechRepublic/FNHK-128/2020,CzechRepublic/FNHK-18902/2020,CzechRepublic/FNHK-139/2020,CzechRepublic/FNHK-14301/2020,CzechRepublic/FNHK-04803/2020,CzechRepublic/FNHK-10205/2020,CzechRepublic/FNHK-04402/2020,CzechRepublic/FNHK-13401/2020,CzechRepublic/FNHK-191/2020,CzechRepublic/FNHK-18901/2020,CzechRepublic/FNHK-19001/2020
Son Nguyen et al et al	4	unknown	unknown	unknown	Australia/QLD978/2020,Australia/QLD1499/2021,Australia/QLD1486/2020,Australia/QLD961/2020
Ivars Silamiķelis et al	128	unknown	unknown	unknown	Latvia/040/2020,Latvia/044/2020,Latvia/02/2020,Latvia/03/2020,Latvia/220/2020,Latvia/193/2020,Latvia/031/2020,Latvia/024/2020,Latvia/018/2020,Latvia/033/2020,Latvia/029/2020,Latvia/141/2020,Latvia/012/2020,Latvia/013/2020,Latvia/192/2020,Latvia/184/2020,Latvia/187/2020,Latvia/194/2020,Latvia/188/2020,Latvia/050/2020,Latvia/07/2020,Latvia/049/2020,Latvia/06/2020,Latvia/112/2020,Latvia/132/2020,Latvia/017/2020,Latvia/196/2020,Latvia/163/2020,Latvia/207/2020,Latvia/179/2020,Latvia/226/2020,Latvia/205/2020,Latvia/092/2020,Latvia/043/2020,Latvia/088/2020,Latvia/015/2020,Latvia/025/2020,Latvia/022/2020,Latvia/036/2020,Latvia/026/2020,Latvia/021/2020,Latvia/020/2020,Latvia/038/2020,Latvia/037/2020,Latvia/030/2020,Latvia/054/2020,Latvia/177/2020,Latvia/222/2020,Latvia/219/2020,Latvia/181/2020,Latvia/159/2020,Latvia/169/2020,Latvia/172/2020,Latvia/195/2020,Latvia/224/2020,Latvia/175/2020,Latvia/174/2020,Latvia/197/2020,Latvia/228/2020,Latvia/216/2020,Latvia/149/2020,Latvia/199/2020,Latvia/204/2020,Latvia/147/2020,Latvia/198/2020,Latvia/171/2020,Latvia/185/2020,Latvia/191/2020,Latvia/035/2020,Latvia/053/2020,Latvia/084/2020,Latvia/071/2020,Latvia/083/2020,Latvia/085/2020,Latvia/058/2020,Latvia/190/2020,Latvia/010/2020,Latvia/070/2020,Latvia/045/2020,Latvia/019/2020,Latvia/027/2020,Latvia/023/2020,Latvia/08/2020,Latvia/115/2020,Latvia/189/2020,Latvia/051/2020,Latvia/042/2020,Latvia/011/2020,Latvia/034/2020,Latvia/028/2020,Latvia/052/2020,Latvia/032/2020,Latvia/05/2020,Latvia/062/2020,Latvia/079/2020,Latvia/074/2020,Latvia/056/2020,Latvia/055/2020,Latvia/057/2020,Latvia/091/2020,Latvia/063/2020,Latvia/066/2020,Latvia/072/2020,Latvia/087/2020,Latvia/078/2020,Latvia/109/2020,Latvia/113/2020,Latvia/111/2020,Latvia/094/2020,Latvia/095/2020,Latvia/119/2020,Latvia/118/2020,Latvia/116/2020,Latvia/099/2020,Latvia/120/2020,Latvia/114/2020,Latvia/098/2020,Latvia/101/2020,Latvia/103/2020,Latvia/107/2020,Latvia/100/2020,Latvia/102/2020,Latvia/105/2020,Latvia/104/2020,Latvia/106/2020,Latvia/108/2020,Latvia/110/2020,Latvia/210/2020
Zhang et al A	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	Wuhan/Hu-1/2019
Peng Zhou et al	2	unknown	unknown	unknown	Wuhan/WIV06/2019,Wuhan/WIV04/2019
Nguyen et al	1	unknown	unknown	unknown	Vietnam/19-02S/2020
